ctgr,input,probe_asn,measurement_start_time,accessible,blocking,status_code,title,explorer,api
ANON,https://www.purevpn.com/,8452,2018-03-08 9:16:47,f,http-diff,525,www.purevpn.com | 525: SSL handshake failed,https://explorer.ooni.torproject.org/measurement/20180308T083200Z_AS8452_cbaRgRTddii41IeKBeMEb16FbJm4Fyj1lgVmvEWy6ELWL7PkL0?input=https://www.purevpn.com/,http://api.ooni.io/api/v1/measurement/temp-id-168148332
ANON,https://psiphon.ca,8452,2018-03-08 10:29:22,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180308T093025Z_AS8452_KoAlgM2oNQOeX45ZQzqx4GLJ91IYs75f5cVeyUWetUojNRqvFC?input=https://psiphon.ca,http://api.ooni.io/api/v1/measurement/temp-id-167917756
ANON,https://psiphon.ca/,8452,2018-03-11 8:30:35,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180311T081741Z_AS8452_XP7G8u8NSHQfqRdK7JHcZCsYqn2cwXeuqfclWRVdfajryBtDDk?input=https://psiphon.ca/,http://api.ooni.io/api/v1/measurement/temp-id-168969912
ANON,https://www.purevpn.com/,8452,2018-03-11 9:04:10,f,http-diff,525,www.purevpn.com | 525: SSL handshake failed,https://explorer.ooni.torproject.org/measurement/20180311T081741Z_AS8452_XP7G8u8NSHQfqRdK7JHcZCsYqn2cwXeuqfclWRVdfajryBtDDk?input=https://www.purevpn.com/,http://api.ooni.io/api/v1/measurement/temp-id-168970585
ANON,https://psiphon.ca,8452,2018-03-11 10:19:33,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180311T091932Z_AS8452_aBbSvdJ6pkUGKlKfQDfK0QLxgNZvHgnTHrcKSdy8zBxV857QW3?input=https://psiphon.ca,http://api.ooni.io/api/v1/measurement/temp-id-168761480
ANON,https://psiphon.ca/,36935,2018-03-12 0:02:20,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180312T000158Z_AS36935_cpuA9yLhbZL51VaP2aLxMwugPRlAIuLhzRpZOR0sla0EzCSYzo?input=https://psiphon.ca/,http://api.ooni.io/api/v1/measurement/temp-id-168736969
ANON,https://psiphon.ca/,8452,2018-03-12 9:00:18,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180312T084734Z_AS8452_Rcwmu4VfM0VHXnQHLgQq4gKLmk0fofyKs98rDUAefaBAOeFpw4?input=https://psiphon.ca/,http://api.ooni.io/api/v1/measurement/temp-id-169246312
ANON,https://www.purevpn.com/,8452,2018-03-12 9:33:16,f,http-diff,525,www.purevpn.com | 525: SSL handshake failed,https://explorer.ooni.torproject.org/measurement/20180312T084734Z_AS8452_Rcwmu4VfM0VHXnQHLgQq4gKLmk0fofyKs98rDUAefaBAOeFpw4?input=https://www.purevpn.com/,http://api.ooni.io/api/v1/measurement/temp-id-169246985
ANON,https://psiphon.ca,8452,2018-03-12 10:45:31,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180312T095207Z_AS8452_SnoV7EehTLCnxHxIuClljGmLyvg6etWfQ3OacQq81BF64oGo68?input=https://psiphon.ca,http://api.ooni.io/api/v1/measurement/temp-id-169033472
ANON,https://psiphon.ca/,8452,2018-03-13 8:55:34,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180313T084236Z_AS8452_ZQULofmCvQTPYuzn4X1B78Sa4PsqwFk8jhPrpQbbhijyMofDV7?input=https://psiphon.ca/,http://api.ooni.io/api/v1/measurement/temp-id-169545245
ANON,https://www.purevpn.com/,8452,2018-03-13 9:28:58,f,http-diff,525,www.purevpn.com | 525: SSL handshake failed,https://explorer.ooni.torproject.org/measurement/20180313T084236Z_AS8452_ZQULofmCvQTPYuzn4X1B78Sa4PsqwFk8jhPrpQbbhijyMofDV7?input=https://www.purevpn.com/,http://api.ooni.io/api/v1/measurement/temp-id-169545918
ANON,https://psiphon.ca,8452,2018-03-13 10:41:19,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180313T094554Z_AS8452_UGQizd3vXNzR42s7KxSzUdvVKTyrOlxmcGq3eAVA5zplgcck3A?input=https://psiphon.ca,http://api.ooni.io/api/v1/measurement/temp-id-169371624
ANON,https://www.purevpn.com/,8452,2018-03-13 21:11:33,f,http-diff,525,www.purevpn.com | 525: SSL handshake failed,https://explorer.ooni.torproject.org/measurement/20180313T211040Z_AS8452_u3rLR187YQX6igoMjpO7jimqtNZzW9xvTJFyA0usfVE1J7e5HM?input=https://www.purevpn.com/,http://api.ooni.io/api/v1/measurement/temp-id-169355722
ANON,https://psiphon.ca/,8452,2018-03-14 9:50:37,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180314T093823Z_AS8452_WWSYANHIa8DoLQcFsXptKLThS8kW7x4txGmcNAzk95kccVupn1?input=https://psiphon.ca/,http://api.ooni.io/api/v1/measurement/temp-id-169835467
ANON,https://www.purevpn.com/,8452,2018-03-14 10:24:46,f,http-diff,525,www.purevpn.com | 525: SSL handshake failed,https://explorer.ooni.torproject.org/measurement/20180314T093823Z_AS8452_WWSYANHIa8DoLQcFsXptKLThS8kW7x4txGmcNAzk95kccVupn1?input=https://www.purevpn.com/,http://api.ooni.io/api/v1/measurement/temp-id-169836141
ANON,https://psiphon.ca,8452,2018-03-14 11:39:19,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180314T105030Z_AS8452_wTTKGUP0qGlaxynFTzZWajfDVEjV510yWAH7z2zmfS7LHfGA08?input=https://psiphon.ca,http://api.ooni.io/api/v1/measurement/temp-id-169591356
ANON,https://psiphon.ca/,8452,2018-03-15 8:48:57,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180315T083530Z_AS8452_7HFxhwNFKS3ACJTJGaCDQYNEGIrZ9VYtMm3yoB9InAOrp1INY1?input=https://psiphon.ca/,http://api.ooni.io/api/v1/measurement/temp-id-170121114
ANON,https://psiphon.ca/,8452,2018-03-15 10:41:31,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180315T094218Z_AS8452_92XZ0nnYwj4CQ7F9gOCwh98zWh5wolcqcERFtvShh4W6XExF1k?input=https://psiphon.ca/,http://api.ooni.io/api/v1/measurement/temp-id-170128681
ANON,https://www.purevpn.com/,8452,2018-03-15 12:26:50,f,http-diff,525,www.purevpn.com | 525: SSL handshake failed,https://explorer.ooni.torproject.org/measurement/20180315T094218Z_AS8452_92XZ0nnYwj4CQ7F9gOCwh98zWh5wolcqcERFtvShh4W6XExF1k?input=https://www.purevpn.com/,http://api.ooni.io/api/v1/measurement/temp-id-170129355
ANON,https://psiphon.ca/,8452,2018-03-15 17:56:27,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180315T173202Z_AS8452_XhHxjztLuMMepPB4DQSCZ81br7gO4XV0tLzOC0fHnkbd0C0WuQ?input=https://psiphon.ca/,http://api.ooni.io/api/v1/measurement/temp-id-169866555
ANON,https://psiphon.ca/,8452,2018-03-16 8:58:52,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180316T084212Z_AS8452_6yRoDrBdLyBKxwikvXK1Y8vVvy4KYSFeZO1by5M1ktKIG4x9jv?input=https://psiphon.ca/,http://api.ooni.io/api/v1/measurement/temp-id-170412037
ANON,https://www.purevpn.com/,8452,2018-03-16 10:02:33,f,http-diff,525,www.purevpn.com | 525: SSL handshake failed,https://explorer.ooni.torproject.org/measurement/20180316T084212Z_AS8452_6yRoDrBdLyBKxwikvXK1Y8vVvy4KYSFeZO1by5M1ktKIG4x9jv?input=https://www.purevpn.com/,http://api.ooni.io/api/v1/measurement/temp-id-170412710
ANON,https://psiphon.ca,8452,2018-03-16 11:37:00,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180316T102940Z_AS8452_oulzmSWjXk3r3ZrCrIUip1KSDDsWhTMIgudzViDtKo0Cd6jVVF?input=https://psiphon.ca,http://api.ooni.io/api/v1/measurement/temp-id-170177469
ANON,https://www.purevpn.com/,0,2018-03-17 13:58:40,f,http-diff,525,www.purevpn.com | 525: SSL handshake failed,https://explorer.ooni.torproject.org/measurement/20180317T135801Z_AS0_LjfETvHYvAL2M8wsk9pjWHRVliV3oxweJyzaQVtJl49uQvvMdy?input=https://www.purevpn.com/,http://api.ooni.io/api/v1/measurement/temp-id-170445800
