input,blk_cnt,test_cnt,rate
http://www.unblockytproxy.com,71,187,0.38
http://www.otlp.xyz,68,179,0.38
http://www.9proxy.space,67,175,0.38
http://vpnfacile.net,65,178,0.37
http://www.5proxy.space,65,176,0.37
http://www.publicproxyservers.com,67,179,0.37
http://www.megaproxy.com,57,155,0.37
http://www.buqd.xyz,65,175,0.37
http://www.rexoss.com,66,179,0.37
http://www.vpnsecure.me,59,161,0.37
http://www.678proxy.ml,65,175,0.37
http://www.sumrando.com,61,165,0.37
http://www.torvpn.com,56,153,0.37
http://www.secretproxy.org,67,179,0.37
http://www.0proxy.space,64,174,0.37
http://www.8proxy.space,64,175,0.37
http://www.345proxy.ml,65,175,0.37
http://www.itshidden.eu,67,183,0.37
http://www.idolproxy.com,69,186,0.37
http://www.hopeproxy.com,68,182,0.37
http://www.tomatoproxy.eu,69,187,0.37
http://www.bananaproxy.eu,65,175,0.37
http://www.vpnlux.com,57,155,0.37
http://www.befreeproxy.com,64,175,0.37
http://mubasher.aljazeera.net,76,208,0.37
http://pzou.win,65,174,0.37
http://www.789proxy.cf,64,175,0.37
http://www.hiload.in,66,182,0.36
http://www.unotelly.com,54,152,0.36
http://www.mullvad.net,58,159,0.36
http://www.my-proxy.com,60,165,0.36
http://www.free-proxy-list.net,59,164,0.36
http://tunnelguru.com,55,152,0.36
http://www.ivacy.com,58,160,0.36
http://www.smarthide.com,64,178,0.36
http://www.yxorproxy.com,62,172,0.36
http://www.proxy-service.de,59,165,0.36
http://www.web-proxy.co,63,177,0.36
http://www.englandproxy.co.uk,68,187,0.36
http://www.proxyeuro.pw,63,174,0.36
http://www.pandashield.com,68,187,0.36
http://www.kingsurfproxy.com,66,183,0.36
http://www.prx.im,67,187,0.36
http://www.applepieproxy.xyz,66,184,0.36
http://www.tabproxy.com,63,177,0.36
http://www.websurf.in,59,164,0.36
http://www.hidemebro.com,60,165,0.36
http://www.proxyisp.com,64,179,0.36
http://www.unblockmyweb.com,64,176,0.36
https://www.megaproxy.com,63,173,0.36
http://www.proxynova.com,59,165,0.36
http://www.mainproxy.pw,62,174,0.36
http://www.homeproxy.com,59,165,0.36
http://www.maddw.com,66,182,0.36
http://www.overplay.net,55,157,0.35
http://www.showvision.info,60,173,0.35
http://www.shinyproxy.com,62,179,0.35
http://www.filterbypass.me,53,152,0.35
http://www.getfoxyproxy.org,58,165,0.35
http://www.youtubeproxy.pw,61,173,0.35
http://www.sslproxies.org,57,162,0.35
http://www.ipredator.se,56,161,0.35
http://www.us-proxy.org,58,164,0.35
http://www.luminati.io,58,166,0.35
http://www.instantunblock.com,57,161,0.35
http://www.gowebsite.link,63,182,0.35
http://www.switchvpn.net,54,154,0.35
http://www.freewebproxyserver.pw,62,175,0.35
http://www.proxysite.com,58,164,0.35
http://www.undofilters.com,58,165,0.35
http://www.hollandproxy.eu,62,175,0.35
http://www.invisiblesurf.review,62,175,0.35
http://www.yellowproxy.net,57,164,0.35
http://www.gimmeproxy.com,65,187,0.35
http://steadyproxy.cf,58,173,0.34
http://www.videounblocker.net,59,176,0.34
http://steadyproxy.ga,59,173,0.34
http://www.proxify.com,56,163,0.34
http://www.freshfreeproxy.ga,59,175,0.34
http://www.unblock123.com,60,176,0.34
http://www.ourwebproxy.ml,60,174,0.34
http://www.relakks.com,54,157,0.34
http://www.unblock-sites.com,52,153,0.34
http://cyberghostvpn.com,69,204,0.34
http://www.site2unblock.com,60,178,0.34
http://www.notaproxy.co.uk,61,180,0.34
http://www.nanoproxy.de,62,180,0.34
http://www.ipjetable.net,55,160,0.34
http://www.ninjacloak.com,54,158,0.34
http://www.socks-proxy.net,55,162,0.34
http://www.33proxy.pw,59,175,0.34
http://www.lingeriebowl.com,72,212,0.34
http://www.skullproxy.com,61,178,0.34
http://www.proxprox.com,59,174,0.34
http://www.turkeyproxy.com,58,170,0.34
http://www.newsproxy.xyz,60,175,0.34
http://www.hidenseek.org,53,160,0.33
http://www.freshunblock.gq,57,175,0.33
https://proxify.com/,64,194,0.33
http://www.sabanews.net/,1,3,0.33
http://youngsouls.blogspot.com/,1,3,0.33
http://www.hrw.org/,1,3,0.33
https://dawaalhaq.com/,1,3,0.33
http://www.proxhow.com,59,179,0.33
http://www.speedproxyserver.com,59,179,0.33
http://www.proxyvpn.gq,59,179,0.33
http://www.anonymsurfen.com,132,398,0.33
http://www.proxyjapan.nu,59,179,0.33
http://www.saafi.net/,1,3,0.33
http://www.activewebproxy.cf,57,175,0.33
http://www.match.com,58,176,0.33
http://www.bestvpn.com,54,165,0.33
http://www.bypasstool.gq,57,175,0.33
http://www.takesper.gq,57,173,0.33
http://www.totalvpn.com,61,185,0.33
http://www.22proxy.pw,57,174,0.33
http://www.alhesbah.org,1,3,0.33
http://www.ooproxy.pw,59,180,0.33
https://madamasr.com,1,3,0.33
http://www.internewsarabic.org/,1,3,0.33
http://www.66proxy.pw,58,175,0.33
http://omamh.com,1,3,0.33
http://www.aboshreek.com,1,3,0.33
http://anonym.to,68,205,0.33
http://www.libyanconstitutionalunion.net/,1,3,0.33
https://textsecure-service-ca.whispersystems.org,1,3,0.33
http://www.haydarya.com/,1,3,0.33
http://www.awebproxy.com,55,165,0.33
http://www.anhri.net/,2,6,0.33
http://www.vobas.com,51,154,0.33
http://ww.almasryalyoum.com/,1,3,0.33
http://www.sweatshopwatch.org/,1,3,0.33
http://www.wpfc.org/,2,6,0.33
http://www.unblockproxy.me,56,177,0.32
https://geti2p.net,45,141,0.32
http://www.topproxy.gq,57,176,0.32
http://www.proxfree.com,53,165,0.32
http://www.akproxy.gq,58,184,0.32
http://www.anonym.to,50,154,0.32
http://www.newproxy.ninja,56,175,0.32
http://www.webproxy2.com,57,177,0.32
http://www.wowvpn.net,56,177,0.32
http://www.swissvpn.net,49,155,0.32
http://www.vpntunnel.se,46,143,0.32
http://www.ukproxyserver.co.uk,49,153,0.32
http://www.blewpass.com,56,174,0.32
http://www.accessmeproxy.net,48,150,0.32
http://www.proxy.my-addr.com,57,179,0.32
http://www.unhideing.link,55,173,0.32
http://www.2016webproxy.cf,60,185,0.32
http://www.linkmetube.com,59,182,0.32
http://www.unblockaccess.com,57,176,0.32
http://www.kproxy.com,59,187,0.32
http://www.proxyserver.ovh,57,179,0.32
http://www.vivome.xyz,57,176,0.32
http://www.sslpro.org,58,179,0.32
http://www.bulgariaproxy.net,58,183,0.32
http://www.proxyunblocker.org,59,187,0.32
http://www.thebestproxy.info,55,177,0.31
http://www.usproxy.nu,54,176,0.31
http://www.tinyproxy.ga,53,173,0.31
http://www.2016webproxy.ml,54,175,0.31
http://www.lopana.com,53,172,0.31
http://www.proxyb.com,48,156,0.31
http://www.securewebproxy.gq,54,173,0.31
http://www.sslsecureproxy.com,56,178,0.31
http://www.xitesite.com,54,177,0.31
http://www.supervpn.net,55,178,0.31
http://www.fiberproxy.net,56,183,0.31
http://www.vpn4all.com,54,177,0.31
https://ultrasurf.us,56,180,0.31
http://www.anonymouse.org,57,183,0.31
http://www.freshfreeproxy.gq,55,175,0.31
http://www.vpnworldwide.com,55,177,0.31
http://www.zensur.freerk.com,119,382,0.31
http://www.hidebuzz.us,56,182,0.31
http://www.topnewproxy.gq,54,173,0.31
http://www.proxyforme.ml,56,179,0.31
http://ytunblocker.com,52,172,0.3
http://www.2fastsurfer.com,56,185,0.3
http://www.vidproxy.com,53,176,0.3
http://www.proxyzan.info,53,179,0.3
http://www.phproxy.co,54,180,0.3
http://www.freeproxylists.net,55,184,0.3
http://www.zalmos.com,56,186,0.3
http://www.miniprox.com,55,181,0.3
http://www.spotflux.com,53,175,0.3
http://www.proxyload.net,54,179,0.3
https://getfoxyproxy.org,43,141,0.3
http://www.videounblock.com,53,176,0.3
http://www.freeproxyserver.ovh,56,184,0.3
http://www.hideoxy.com,55,182,0.3
http://www.aceproxy.com,55,184,0.3
http://anonymizer.secuser.com,127,420,0.3
https://www.al-akhbar.com,3,10,0.3
http://www.vload.net,53,176,0.3
http://www.unblockyoutubefree.net,51,176,0.29
http://www.ultrasurf.us,55,187,0.29
http://www.zpn.im,52,179,0.29
http://www.nvpn.net,52,180,0.29
http://www.bramka-proxy.pl,51,175,0.29
http://www.4proxy.de,54,186,0.29
http://www.unblockbook.biz,51,176,0.29
http://www.4everproxy.com,51,175,0.29
http://www.free-proxyserver.com,53,184,0.29
http://www.freeproxy.ru,53,184,0.29
http://www.ibvpn.com,46,161,0.29
http://www.stealthproxy.co.uk,54,187,0.29
http://www.proxylistpro.com,55,187,0.29
http://www.xitenow.com,51,177,0.29
https://www.idcloak.com,46,161,0.29
http://www.proxite.eu,52,179,0.29
http://www.webproxy.to,52,177,0.29
http://www.99proxy.com,52,185,0.28
http://www.fastusaproxy.com,51,182,0.28
http://www.anonymox.net,53,188,0.28
http://www.freeeuroproxy.com,52,184,0.28
http://www.libertyvpn.net,50,181,0.28
http://www.xroxy.com,109,385,0.28
http://www.coolbits.org,51,184,0.28
http://www.quickprox.com,50,179,0.28
http://ultrasurf.us,64,229,0.28
http://www.jmarshall.com/tools/cgiproxy/,107,387,0.28
http://guardster.com/,66,233,0.28
http://www.newipnow.com,50,180,0.28
http://www.proxyweb.com.es,49,173,0.28
http://www.proxy4free.com,50,179,0.28
