input,blocking_cnt,msm_cnt,measurement_start_time,probe_asn,blocking,accessible,http_experiment_failure,title_match,dns_consistency,dns_experiment_failure,body_proportion,body_length_match,headers_match,status_code_match,explorer
https://uganda.topescortbabes.com/,13,14,2018-09-28 17:18:54,20294,tcp_ip,FALSE,connect_error,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180928T171730Z_AS20294_wszizC6nXsI8XmS0ohCCs1a5zKzvYLa2Yv3F6k0JKSz9Z9COei?input=https://uganda.topescortbabes.com/
https://uganda.topescortbabes.com/,13,14,2018-09-29 8:50:08,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180929T085004Z_AS20294_e05CresvHPhwpXFpBYDDAOjtDanFNusqbRMY28isH4SYONKnZR?input=https://uganda.topescortbabes.com/
https://uganda.topescortbabes.com/,13,14,2018-10-01 6:24:53,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T062449Z_AS20294_JqbaPPb0UwwGATqYfKQOhpj1e6gOkPfXD62efs9YkMTlYz5IXK?input=https://uganda.topescortbabes.com/
https://uganda.topescortbabes.com/,13,14,2018-10-01 8:08:57,36991,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T080826Z_AS36991_xC2LmiTi5b8CFSa0wGIH4BSxjgtj03OLs6KQZMeBKYkbRguR71?input=https://uganda.topescortbabes.com/
https://uganda.topescortbabes.com/,13,14,2018-10-01 8:29:19,36991,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T082856Z_AS36991_Iu8GXNUPgJgb9hG6EwyzHoROfU6Ou8Mgmf0kEDutk0UZ5MAX13?input=https://uganda.topescortbabes.com/
https://uganda.topescortbabes.com/,13,14,2018-10-01 11:06:40,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T110552Z_AS20294_T3BXxnYUnOhR5ESDNAKWOhkFg5zYdi0tuxnmXP2q5nwwsuE7yf?input=https://uganda.topescortbabes.com/
https://uganda.topescortbabes.com/,13,14,2018-10-01 11:31:35,29032,http-failure,FALSE,generic_timeout_error,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T112819Z_AS29032_qClDqWloUdeuFHE3VU31kts9fNUwLw7bWXNBRZk6xE6xuxi777?input=https://uganda.topescortbabes.com/
https://uganda.topescortbabes.com/,13,14,2018-10-02 12:35:28,36991,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181002T123528Z_AS36991_h6IsvKjMEZMpKeYht3cAHtCd3u7PPzC8FZFHS9nlJsoUydfvsc?input=https://uganda.topescortbabes.com/
https://uganda.topescortbabes.com/,13,14,2018-10-03 6:51:31,36991,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181003T064721Z_AS36991_JahqE7pUY3qLeJ7OS6SZkGFpQ58LT57yTkd32vj4PPlMXA1l6i?input=https://uganda.topescortbabes.com/
https://www.eporner.com,12,14,2018-09-28 12:20:10,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180928T121825Z_AS20294_u4UJT5wAUffzlxKZGGic55hBJ7Rr3DTuyLmkiYuXaLDtUoA494?input=https://www.eporner.com
https://www.eporner.com,12,14,2018-09-28 12:21:51,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180928T122151Z_AS20294_Gjz9V2twlHNIGfzR4yhPO2Opwg97MPJRjY9frNbD9iNqXI2KJW?input=https://www.eporner.com
https://www.eporner.com,12,14,2018-09-29 8:50:14,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180929T085004Z_AS20294_e05CresvHPhwpXFpBYDDAOjtDanFNusqbRMY28isH4SYONKnZR?input=https://www.eporner.com
https://www.eporner.com,12,14,2018-10-01 6:24:49,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T062449Z_AS20294_JqbaPPb0UwwGATqYfKQOhpj1e6gOkPfXD62efs9YkMTlYz5IXK?input=https://www.eporner.com
