hop1	ms1	hop2	ms2	hop3	ms3	hop4	ms4	hop5	ms5	hop6	ms6	hop7	ms7	hop8	ms8	hop9	ms9	hop10	ms10	hop11	ms11
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	76.8
37.218.245.254	0.1	195.190.28.1	0.2	80.249.212.8	77.1	200.16.69.46	76.8
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	77.5	200.16.69.46	76.6
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	77.0	200.16.69.46	77.0
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	76.8	200.16.69.46	76.8
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	93.1	200.16.69.46	76.8
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	76.8	200.16.69.46	76.7
37.218.245.254	0.1	195.190.28.1	0.1	80.249.212.8	76.8	200.16.69.46	76.8
37.218.245.254	0.2	195.190.28.1	0.1	80.249.212.8	76.7	200.16.69.46	76.7
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	76.6	200.16.71.86	125.5	10.82.1.2	126.4	*.*.*.*	0	10.82.1.154	129.7	172.26.8.93	126.7	CPE	159.9	CPE:ACK	159.4
*.*.*.*	0	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	76.7
37.218.245.254	0.1	195.190.28.1	0.1	80.249.212.8	76.7	200.16.69.46	76.7
37.218.245.254	0.2	195.190.28.1	0.1	80.249.212.8	77.0	200.16.69.46	76.8
37.218.245.254	0.2	195.190.28.1	0.3	80.249.212.8	76.7	200.16.69.46	76.7
37.218.245.254	0.1	195.190.28.1	0.2	80.249.212.8	76.8	200.16.69.46	76.7
37.218.245.254	0.2	195.190.28.1	0.5	80.249.212.8	77.7	200.16.69.46	76.6
37.218.245.254	0.1	195.190.28.1	0.2	80.249.212.8	77.6	200.16.69.46	76.7
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	76.6
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	112.1	200.16.69.46	76.7
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	77.1	200.16.69.46	76.7	200.16.71.86	125.7	10.82.1.2	125.9	*.*.*.*	0	10.82.1.74	129.4	172.26.8.61	138.7	CPE	159.0	CPE:ACK	159.3
37.218.245.254	0.1	195.190.28.1	0.1	80.249.212.8	76.6	200.16.69.46	76.7
37.218.245.254	0.2	195.190.28.1	0.1	80.249.212.8	77.1	200.16.69.46	76.7
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	76.6	200.16.69.46	76.7
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	76.8	200.16.69.46	76.8
37.218.245.254	0.1	195.190.28.1	0.2	80.249.212.8	76.9	200.16.69.46	76.9
37.218.245.254	0.1	195.190.28.1	0.3	80.249.212.8	77.0	200.16.69.46	76.9
37.218.245.254	0.1	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	76.8	200.16.71.86	125.3	10.82.1.2	125.1	*.*.*.*	0	10.82.1.74	129.4	172.26.8.93	126.4	CPE	159.7	CPE:ACK	159.5
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	76.9	200.16.69.46	76.8
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	76.9
37.218.245.254	0.1	195.190.28.1	0.2	80.249.212.8	121.5	200.16.69.46	76.7
37.218.245.254	0.1	195.190.28.1	0.2	80.249.212.8	76.8	200.16.69.46	76.8
37.218.245.254	0.1	195.190.28.1	0.2	80.249.212.8	77.6	200.16.69.46	76.8
37.218.245.254	0.2	195.190.28.1	0.1	80.249.212.8	76.8	200.16.69.46	76.7
37.218.245.254	0.1	195.190.28.1	0.2	80.249.212.8	77.6	200.16.69.46	76.6
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	76.8	200.16.69.46	76.9
37.218.245.254	0.1	195.190.28.1	0.2	80.249.212.8	76.8	200.16.69.46	76.7
37.218.245.254	0.2	195.190.28.1	0.1	80.249.212.8	76.8	200.16.69.46	76.7
37.218.245.254	0.2	195.190.28.1	0.1	80.249.212.8	76.7	200.16.69.46	76.6
37.218.245.254	0.1	195.190.28.1	0.1	80.249.212.8	76.8	200.16.69.46	76.7
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	76.9	200.16.69.46	81.9
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	76.8	200.16.69.46	76.8
37.218.245.254	0.1	195.190.28.1	0.2	80.249.212.8	76.5	200.16.69.46	87.1
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	90.5	200.16.69.46	76.7
