,measurement_start_time,anomaly,confirmed,report_id,probe_cc,probe_asn,test_name,test_runtime,input,domain,blocking,http_experiment_failure,dns_experiment_failure,control_failure,body_simhash,body_sha256,test_ip,client_resolver,control_ip,explorer_url
31,2020-02-22 05:32:48,,,20200222T053936Z_AS135307_lgwOCLiVvHROTcnKAz5VtXHTzDjwXjt4r9AZ02FC3b6By4QzMY,MM,135307,web_connectivity,36.9749,http://www.womenwarpeace.org/,www.womenwarpeace.org,false,http_too_many_redirects,,,0.0,<memory at 0x7f3675607c48>,['31.24.224.162'],74.125.190.136,['31.24.224.162'],https://explorer.ooni.org/measurement/20200222T053936Z_AS135307_lgwOCLiVvHROTcnKAz5VtXHTzDjwXjt4r9AZ02FC3b6By4QzMY?input=http%3A%2F%2Fwww.womenwarpeace.org%2F
32,2020-02-22 05:32:48,,,20200222T053936Z_AS135307_lgwOCLiVvHROTcnKAz5VtXHTzDjwXjt4r9AZ02FC3b6By4QzMY,MM,135307,web_connectivity,36.9749,http://www.womenwarpeace.org/,www.womenwarpeace.org,false,http_too_many_redirects,,,0.0,<memory at 0x7f3675607ac8>,['31.24.224.162'],74.125.190.136,['31.24.224.162'],https://explorer.ooni.org/measurement/20200222T053936Z_AS135307_lgwOCLiVvHROTcnKAz5VtXHTzDjwXjt4r9AZ02FC3b6By4QzMY?input=http%3A%2F%2Fwww.womenwarpeace.org%2F
33,2020-02-22 05:32:48,,,20200222T053936Z_AS135307_lgwOCLiVvHROTcnKAz5VtXHTzDjwXjt4r9AZ02FC3b6By4QzMY,MM,135307,web_connectivity,36.9749,http://www.womenwarpeace.org/,www.womenwarpeace.org,false,http_too_many_redirects,,,0.0,<memory at 0x7f3675607d08>,['31.24.224.162'],74.125.190.136,['31.24.224.162'],https://explorer.ooni.org/measurement/20200222T053936Z_AS135307_lgwOCLiVvHROTcnKAz5VtXHTzDjwXjt4r9AZ02FC3b6By4QzMY?input=http%3A%2F%2Fwww.womenwarpeace.org%2F
34,2020-02-22 05:32:48,,,20200222T053936Z_AS135307_lgwOCLiVvHROTcnKAz5VtXHTzDjwXjt4r9AZ02FC3b6By4QzMY,MM,135307,web_connectivity,36.9749,http://www.womenwarpeace.org/,www.womenwarpeace.org,false,http_too_many_redirects,,,0.0,<memory at 0x7f3675607dc8>,['31.24.224.162'],74.125.190.136,['31.24.224.162'],https://explorer.ooni.org/measurement/20200222T053936Z_AS135307_lgwOCLiVvHROTcnKAz5VtXHTzDjwXjt4r9AZ02FC3b6By4QzMY?input=http%3A%2F%2Fwww.womenwarpeace.org%2F
35,2020-02-22 05:32:48,,,20200222T053936Z_AS135307_lgwOCLiVvHROTcnKAz5VtXHTzDjwXjt4r9AZ02FC3b6By4QzMY,MM,135307,web_connectivity,36.9749,http://www.womenwarpeace.org/,www.womenwarpeace.org,false,http_too_many_redirects,,,0.0,<memory at 0x7f3675607e88>,['31.24.224.162'],74.125.190.136,['31.24.224.162'],https://explorer.ooni.org/measurement/20200222T053936Z_AS135307_lgwOCLiVvHROTcnKAz5VtXHTzDjwXjt4r9AZ02FC3b6By4QzMY?input=http%3A%2F%2Fwww.womenwarpeace.org%2F
36,2020-02-22 05:32:48,,,20200222T053936Z_AS135307_lgwOCLiVvHROTcnKAz5VtXHTzDjwXjt4r9AZ02FC3b6By4QzMY,MM,135307,web_connectivity,36.9749,http://www.womenwarpeace.org/,www.womenwarpeace.org,false,http_too_many_redirects,,,0.0,<memory at 0x7f3675607f48>,['31.24.224.162'],74.125.190.136,['31.24.224.162'],https://explorer.ooni.org/measurement/20200222T053936Z_AS135307_lgwOCLiVvHROTcnKAz5VtXHTzDjwXjt4r9AZ02FC3b6By4QzMY?input=http%3A%2F%2Fwww.womenwarpeace.org%2F
37,2020-02-22 05:32:48,,,20200222T053936Z_AS135307_lgwOCLiVvHROTcnKAz5VtXHTzDjwXjt4r9AZ02FC3b6By4QzMY,MM,135307,web_connectivity,36.9749,http://www.womenwarpeace.org/,www.womenwarpeace.org,false,http_too_many_redirects,,,0.0,<memory at 0x7f3675563048>,['31.24.224.162'],74.125.190.136,['31.24.224.162'],https://explorer.ooni.org/measurement/20200222T053936Z_AS135307_lgwOCLiVvHROTcnKAz5VtXHTzDjwXjt4r9AZ02FC3b6By4QzMY?input=http%3A%2F%2Fwww.womenwarpeace.org%2F
38,2020-02-22 05:32:48,,,20200222T053936Z_AS135307_lgwOCLiVvHROTcnKAz5VtXHTzDjwXjt4r9AZ02FC3b6By4QzMY,MM,135307,web_connectivity,36.9749,http://www.womenwarpeace.org/,www.womenwarpeace.org,false,http_too_many_redirects,,,0.0,<memory at 0x7f3675563108>,['31.24.224.162'],74.125.190.136,['31.24.224.162'],https://explorer.ooni.org/measurement/20200222T053936Z_AS135307_lgwOCLiVvHROTcnKAz5VtXHTzDjwXjt4r9AZ02FC3b6By4QzMY?input=http%3A%2F%2Fwww.womenwarpeace.org%2F
39,2020-02-22 05:32:48,,,20200222T053936Z_AS135307_lgwOCLiVvHROTcnKAz5VtXHTzDjwXjt4r9AZ02FC3b6By4QzMY,MM,135307,web_connectivity,36.9749,http://www.womenwarpeace.org/,www.womenwarpeace.org,false,http_too_many_redirects,,,0.0,<memory at 0x7f36755631c8>,['31.24.224.162'],74.125.190.136,['31.24.224.162'],https://explorer.ooni.org/measurement/20200222T053936Z_AS135307_lgwOCLiVvHROTcnKAz5VtXHTzDjwXjt4r9AZ02FC3b6By4QzMY?input=http%3A%2F%2Fwww.womenwarpeace.org%2F
40,2020-02-22 05:32:48,,,20200222T053936Z_AS135307_lgwOCLiVvHROTcnKAz5VtXHTzDjwXjt4r9AZ02FC3b6By4QzMY,MM,135307,web_connectivity,36.9749,http://www.womenwarpeace.org/,www.womenwarpeace.org,false,http_too_many_redirects,,,0.0,<memory at 0x7f3675563288>,['31.24.224.162'],74.125.190.136,['31.24.224.162'],https://explorer.ooni.org/measurement/20200222T053936Z_AS135307_lgwOCLiVvHROTcnKAz5VtXHTzDjwXjt4r9AZ02FC3b6By4QzMY?input=http%3A%2F%2Fwww.womenwarpeace.org%2F
