,measurement_start_time,probe_asn,input,domain,explorer_url,dns,false,http-failure,tcp_ip
237,2019-02-14 07:05:52,4134,http://en.wikipedia.org/wiki/Main_Page,en.wikipedia.org,https://explorer.ooni.io/measurement/20190214T070335Z_AS4134_NsrOtymxmJriBq60CUJMePIkF0hH5T9gskxWJSZA7Djju2oJ4k?input=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2FMain_Page,1.0,0.0,0.0,0.0
238,2019-02-14 08:18:30,4134,http://zh.wikipedia.org/wiki/wikipedia:%e9%a6%96%e9%a1%b5,zh.wikipedia.org,https://explorer.ooni.io/measurement/20190214T070335Z_AS4134_NsrOtymxmJriBq60CUJMePIkF0hH5T9gskxWJSZA7Djju2oJ4k?input=http%3A%2F%2Fzh.wikipedia.org%2Fwiki%2Fwikipedia%3A%25e9%25a6%2596%25e9%25a1%25b5,1.0,0.0,0.0,0.0
239,2019-02-14 08:44:02,4134,http://en.wikipedia.org/wiki/Main_Page,en.wikipedia.org,https://explorer.ooni.io/measurement/20190214T084114Z_AS4134_bFQwRbRVl1Mwoi0GkH8eVs7xOrkqqPXVu0XkZgItkCfWKl3TKK?input=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2FMain_Page,1.0,0.0,0.0,0.0
240,2019-02-14 09:54:06,4134,http://zh.wikipedia.org/wiki/wikipedia:%e9%a6%96%e9%a1%b5,zh.wikipedia.org,https://explorer.ooni.io/measurement/20190214T084114Z_AS4134_bFQwRbRVl1Mwoi0GkH8eVs7xOrkqqPXVu0XkZgItkCfWKl3TKK?input=http%3A%2F%2Fzh.wikipedia.org%2Fwiki%2Fwikipedia%3A%25e9%25a6%2596%25e9%25a1%25b5,1.0,0.0,0.0,0.0
241,2019-02-16 13:19:06,4808,https://www.wikipedia.org/,www.wikipedia.org,https://explorer.ooni.io/measurement/20190216T131835Z_AS4808_yCqkcMq1PQx8Mkfy8sCydQ5UGZkJt7jGSbm0GcN9M9U6KmTJF8?input=https%3A%2F%2Fwww.wikipedia.org%2F,0.0,1.0,0.0,0.0
242,2019-02-17 17:15:12,4837,https://it.wikipedia.org/,it.wikipedia.org,https://explorer.ooni.io/measurement/20190217T171513Z_AS4837_3QvuTRxFxH9I65o4s3Jc7fs1yp58u8IKn8xznVQlyvrZfCJ0Bh?input=https%3A%2F%2Fit.wikipedia.org%2F,0.0,1.0,0.0,0.0
243,2019-02-18 08:23:48,4134,https://zh.wikipedia.org,zh.wikipedia.org,https://explorer.ooni.io/measurement/20190218T082348Z_AS4134_qhG9tSWy4dwh7YbPiuTG0fATue1WvSGsIivQnuTmvPTkNi80GD?input=https%3A%2F%2Fzh.wikipedia.org,1.0,0.0,0.0,0.0
244,2019-02-18 08:25:39,4134,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20190218T081331Z_AS4134_2CoUgy8tf1A7DF2JZNghiXWuK7ndJRnTVHsnWTTVjkJFDb1mcd?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
245,2019-02-18 11:45:27,4837,https://es.wikipedia.org/,es.wikipedia.org,https://explorer.ooni.io/measurement/20190218T114444Z_AS4837_AaouSGAwIgXCxPzSU1GrLaJItcoqs72MRK9LjdfK9NlPLZShid?input=https%3A%2F%2Fes.wikipedia.org%2F,0.0,1.0,0.0,0.0
246,2019-02-22 07:24:28,4837,https://pt.m.wikipedia.org/,pt.m.wikipedia.org,https://explorer.ooni.io/measurement/20190222T072405Z_AS4837_R3md2KpfCFl1bwRGSypg5gtci23lAgPSD5FXU9Ol5hRdaz9GBG?input=https%3A%2F%2Fpt.m.wikipedia.org%2F,0.0,1.0,0.0,0.0
247,2019-02-23 00:04:24,4837,https://de.wikipedia.org/,de.wikipedia.org,https://explorer.ooni.io/measurement/20190223T000411Z_AS4837_IGF6xcU5anmkIR1B5KqTbwwHOzfDhXXmQQeFoG6Zk00NmsiYhp?input=https%3A%2F%2Fde.wikipedia.org%2F,0.0,1.0,0.0,0.0
