a_probe_asn,input,calc_blockpage,catcode,a_test_start_time
AS23674,http://www.balochunitedfront.org,not-blocked,HUMR,67
AS23674,http://www.bso-na.org,id-micronet-0,HUMR,32
AS23674,http://www.bso-na.org,id-surf-safe-0,HUMR,35
AS23674,http://www.bso-na.org,not-blocked,HUMR,1
AS23674,http://www.faithfreedom.org,id-surf-safe-0,HUMR,61
AS23674,http://www.faithfreedom.org,not-blocked,HUMR,7
AS23674,http://www.faithfreedom.org/Gallery/28.htm,id-surf-safe-0,HUMR,61
AS23674,http://www.faithfreedom.org/Gallery/28.htm,not-blocked,HUMR,7
AS23674,http://www.hazara.net,id-micronet-0,HUMR,32
AS23674,http://www.hazara.net,id-surf-safe-0,HUMR,34
AS23674,http://www.hazara.net,not-blocked,HUMR,2
AS23674,http://www.onejerusalem.com/2005/12/26/draw-mohammed-and-win-a-scholarship-to-the-art-college-of-your-choice/,id-surf-safe-0,HUMR,9
AS23674,http://www.onejerusalem.com/2005/12/26/draw-mohammed-and-win-a-scholarship-to-the-art-college-of-your-choice/,not-blocked,HUMR,54
AS23674,http://www.ostomaan.org,id-micronet-0,HUMR,32
AS23674,http://www.ostomaan.org,id-surf-safe-0,HUMR,27
AS23674,http://www.ostomaan.org,not-blocked,HUMR,9
AS23674,http://www.radiobalochi.org,id-surf-safe-0,HUMR,25
AS23674,http://www.radiobalochi.org,not-blocked,HUMR,43
AS45595,http://en.wikipedia.org/wiki/Freedom_of_speech_versus_blasphemy,not-blocked,HUMR,197
AS45595,http://lalmasjid.com,not-blocked,HUMR,195
AS45595,http://www.BalochFront.com,not-blocked,HUMR,196
AS45595,http://www.onejerusalem.com/2005/12/26/draw-mohammed-and-win-a-scholarship-to-the-art-college-of-your-choice/,not-blocked,HUMR,195
AS9260,http://guerrillagirls.com,not-blocked,HUMR,2
AS132165,http://www.gayhealth.com,not-blocked,LGBT,1
AS23674,http://www.gay.com,id-surf-safe-0,LGBT,58
AS23674,http://www.gay.com,not-blocked,LGBT,10
AS23674,http://www.gayhealth.com,id-surf-safe-0,LGBT,4
AS23674,http://www.gayhealth.com,not-blocked,LGBT,59
AS23674,http://www.queerty.com,id-micronet-0,LGBT,32
AS23674,http://www.queerty.com,id-surf-safe-0,LGBT,35
AS23674,http://www.tsroadmap.com,id-surf-safe-0,LGBT,8
AS23674,http://www.tsroadmap.com,not-blocked,LGBT,54
AS59257,http://www.gayhealth.com,not-blocked,LGBT,1
AS59257,http://www.tsroadmap.com,not-blocked,LGBT,1
AS9260,http://www.queerty.com,not-blocked,LGBT,2
AS23674,http://jamatdawa.org,id-micronet-0,MILX,32
AS23674,http://jamatdawa.org,not-blocked,MILX,39
AS45595,http://jamatdawa.org,not-blocked,MILX,97
AS0,http://www.ebaumsworld.com,not-blocked,MMED,1
AS23674,http://imgur.com/1AHlc?full,id-surf-safe-0,MMED,10
AS23674,http://imgur.com/1AHlc?full,not-blocked,MMED,63
AS23674,http://last.fm,id-surf-safe-0,MMED,56
AS23674,http://last.fm,not-blocked,MMED,13
AS23674,http://www.ebaumsworld.com,id-micronet-0,MMED,33
AS23674,http://www.ebaumsworld.com,not-blocked,MMED,35
AS23674,http://www.videovat.com,id-surf-safe-0,MMED,2
AS23674,http://www.videovat.com,not-blocked,MMED,65
AS45595,http://imgur.com/1AHlc?full,not-blocked,MMED,196
AS45595,http://www.ebaumsworld.com,not-blocked,MMED,196
AS45773,http://last.fm,not-blocked,MMED,1
AS9260,http://last.fm,not-blocked,MMED,3
AS9260,http://www.ebaumsworld.com,not-blocked,MMED,1
AS23674,http://atlasshrugs2000.typepad.com/atlas_shrugs/oic_oppresion_and_submission/,id-surf-safe-0,NEWS,67
AS23674,http://atlasshrugs2000.typepad.com/atlas_shrugs/oic_oppresion_and_submission/,not-blocked,NEWS,7
AS23674,http://libertypundits.net/article/awesome-first-annual-everybody-draw-mohammad-day/,id-surf-safe-0,NEWS,2
AS23674,http://libertypundits.net/article/awesome-first-annual-everybody-draw-mohammad-day/,not-blocked,NEWS,69
AS23674,http://www.365gay.com,id-micronet-0,NEWS,33
AS23674,http://www.365gay.com,id-surf-safe-0,NEWS,17
AS23674,http://www.365gay.com,not-blocked,NEWS,18
AS23674,http://www.balochwarna.com,id-micronet-0,NEWS,32
AS23674,http://www.balochwarna.com,id-surf-safe-0,NEWS,28
AS23674,http://www.balochwarna.com,not-blocked,NEWS,8
AS23674,http://www.mynorthwest.com/?nid=11&sid=313170,id-surf-safe-0,NEWS,57
AS23674,http://www.mynorthwest.com/?nid=11&sid=313170,not-blocked,NEWS,11
AS23674,http://www.thebalochhal.com,id-micronet-0,NEWS,32
AS23674,http://www.thebalochhal.com,id-surf-safe-0,NEWS,34
AS23674,http://www.thebalochhal.com,not-blocked,NEWS,2
AS23674,http://www.youtube.com/watch?v=s5rpstly394&feature=related&#194,id-surf-safe-0,NEWS,11
AS23674,http://www.youtube.com/watch?v=s5rpstly394&feature=related&#194,not-blocked,NEWS,35
AS45595,http://atlasshrugs2000.typepad.com/atlas_shrugs/oic_oppresion_and_submission/,not-blocked,NEWS,196
AS45595,http://libertypundits.net/article/awesome-first-annual-everybody-draw-mohammad-day/,not-blocked,NEWS,196
AS45595,http://www.mynorthwest.com/?nid=11&sid=313170,not-blocked,NEWS,196
AS9260,http://www.365gay.com,not-blocked,NEWS,1
AS23674,http://creepingsharia.wordpress.com/2010/04/26/cartoonist-behind-everybody-draw-mohammed-day-poster-getting-nervous/,id-surf-safe-0,POLR,40
AS23674,http://creepingsharia.wordpress.com/2010/04/26/cartoonist-behind-everybody-draw-mohammed-day-poster-getting-nervous/,not-blocked,POLR,29
AS23674,http://cryptome.org/muhammad.htm,id-surf-safe-0,POLR,66
AS23674,http://cryptome.org/muhammad.htm,not-blocked,POLR,8
AS23674,http://michellemalkin.com,id-surf-safe-0,POLR,66
AS23674,http://michellemalkin.com,not-blocked,POLR,5
AS23674,http://www.hizb-ut-tahrir.org,id-micronet-0,POLR,33
AS23674,http://www.hizb-ut-tahrir.org,id-surf-safe-0,POLR,35
AS23674,http://www.hizb.org.uk,id-surf-safe-0,POLR,61
AS23674,http://www.hizb.org.uk,not-blocked,POLR,7
AS23674,http://www.khilafah.com,id-surf-safe-0,POLR,62
AS23674,http://www.zombietime.com,id-surf-safe-0,POLR,1
AS23674,http://www.zombietime.com,not-blocked,POLR,67
AS23674,http://zombietime.com,id-surf-safe-0,POLR,4
AS23674,http://zombietime.com,not-blocked,POLR,64
AS45595,http://www.hizb.org.uk,not-blocked,POLR,10
AS45669,http://www.hizb-ut-tahrir.org,id-surf-safe-0,POLR,1
AS9260,http://www.hizb-ut-tahrir.org,id-surf-safe-0,POLR,1
AS9260,http://www.hizb-ut-tahrir.org,not-blocked,POLR,1
AS0,http://www.gotgayporn.com,id-surf-safe-0,PORN,1
AS132165,http://www.crazyshit.com,not-blocked,PORN,2
AS132165,http://www.gotgayporn.com,not-blocked,PORN,1
AS132165,http://www.wetplace.com,not-blocked,PORN,1
AS17911,http://www.hereistheporn.com,not-blocked,PORN,1
AS23674,http://8thstreetlatinas.com,id-micronet-0,PORN,38
AS23674,http://8thstreetlatinas.com,id-surf-safe-0,PORN,34
AS23674,http://8thstreetlatinas.com,not-blocked,PORN,1
AS23674,http://alt.com,id-micronet-0,PORN,39
AS23674,http://alt.com,not-blocked,PORN,35
AS23674,http://beeg.com,id-micronet-0,PORN,37
AS23674,http://beeg.com,not-blocked,PORN,30
AS23674,http://bravotube.net,id-micronet-0,PORN,36
AS23674,http://bravotube.net,id-surf-safe-0,PORN,32
AS23674,http://bravotube.net,not-blocked,PORN,3
AS23674,http://conan.xxx,id-micronet-0,PORN,36
AS23674,http://conan.xxx,id-surf-safe-0,PORN,1
AS23674,http://conan.xxx,not-blocked,PORN,34
AS23674,http://coolgaylinks.com,id-surf-safe-0,PORN,1
AS23674,http://coolgaylinks.com,not-blocked,PORN,68
AS23674,http://famousnudes.com,id-surf-safe-0,PORN,62
AS23674,http://famousnudes.com,not-blocked,PORN,7
AS23674,http://hardsextube.com,id-micronet-0,PORN,35
AS23674,http://hardsextube.com,id-surf-safe-0,PORN,35
AS23674,http://hotgaylist.com,id-micronet-0,PORN,35
AS23674,http://hotgaylist.com,id-surf-safe-0,PORN,24
AS23674,http://hotgaylist.com,not-blocked,PORN,11
AS23674,http://hustler.com,id-micronet-0,PORN,32
AS23674,http://hustler.com,id-surf-safe-0,PORN,2
AS23674,http://hustler.com,not-blocked,PORN,39
AS23674,http://manhub.com,id-micronet-0,PORN,34
AS23674,http://manhub.com,id-surf-safe-0,PORN,33
AS23674,http://manhub.com,not-blocked,PORN,1
AS23674,http://milfhunter.com,id-micronet-0,PORN,34
AS23674,http://milfhunter.com,id-surf-safe-0,PORN,34
AS23674,http://milfhunter.com,not-blocked,PORN,1
AS23674,http://playboy.com,id-micronet-0,PORN,32
AS23674,http://playboy.com,id-surf-safe-0,PORN,35
AS23674,http://playboy.com,not-blocked,PORN,4
AS23674,http://porn.xxx,id-micronet-0,PORN,32
AS23674,http://porn.xxx,id-surf-safe-0,PORN,32
AS23674,http://porn.xxx,not-blocked,PORN,7
AS23674,http://pornhub.com,id-micronet-0,PORN,34
AS23674,http://pornhub.com,id-surf-safe-0,PORN,34
AS23674,http://pridetube.com,id-micronet-0,PORN,34
AS23674,http://pridetube.com,id-surf-safe-0,PORN,34
AS23674,http://pridetube.com,not-blocked,PORN,1
AS23674,http://realdoll.com,id-micronet-0,PORN,34
AS23674,http://redtube.com,id-micronet-0,PORN,34
AS23674,http://redtube.com,id-surf-safe-0,PORN,34
AS23674,http://redtube.com,not-blocked,PORN,1
AS23674,http://rockettube.com,id-micronet-0,PORN,34
AS23674,http://rockettube.com,id-surf-safe-0,PORN,24
AS23674,http://rockettube.com,not-blocked,PORN,11
AS23674,http://sex.xxx,id-micronet-0,PORN,32
AS23674,http://sex.xxx,id-surf-safe-0,PORN,38
AS23674,http://sex.xxx,not-blocked,PORN,1
AS23674,http://spankwire.com,id-micronet-0,PORN,33
AS23674,http://spankwire.com,id-surf-safe-0,PORN,34
AS23674,http://spankwire.com,not-blocked,PORN,1
AS23674,http://www.89.com,id-micronet-0,PORN,33
AS23674,http://www.89.com,id-surf-safe-0,PORN,21
AS23674,http://www.89.com,not-blocked,PORN,10
AS23674,http://www.amateurpages.com,id-surf-safe-0,PORN,34
AS23674,http://www.amateurpages.com,not-blocked,PORN,1
AS23674,http://www.ashemaletube.com,id-micronet-0,PORN,33
AS23674,http://www.ashemaletube.com,not-blocked,PORN,35
AS23674,http://www.babylon-x.com,id-micronet-0,PORN,33
AS23674,http://www.babylon-x.com,not-blocked,PORN,34
AS23674,http://www.crazyshit.com,id-micronet-0,PORN,33
AS23674,http://www.crazyshit.com,id-surf-safe-0,PORN,2
AS23674,http://www.crazyshit.com,not-blocked,PORN,33
AS23674,http://www.famouspornstars.com,id-micronet-0,PORN,33
AS23674,http://www.famouspornstars.com,id-surf-safe-0,PORN,31
AS23674,http://www.famouspornstars.com,not-blocked,PORN,4
AS23674,http://www.femalestars.com,id-micronet-0,PORN,33
AS23674,http://www.femalestars.com,id-surf-safe-0,PORN,29
AS23674,http://www.femalestars.com,not-blocked,PORN,6
AS23674,http://www.fuckingfreemovies.com,id-micronet-0,PORN,33
AS23674,http://www.fuckingfreemovies.com,id-surf-safe-0,PORN,34
AS23674,http://www.fuckingfreemovies.com,not-blocked,PORN,1
AS23674,http://www.gotgayporn.com,id-micronet-0,PORN,33
AS23674,http://www.gotgayporn.com,id-surf-safe-0,PORN,34
AS23674,http://www.gotgayporn.com,not-blocked,PORN,1
AS23674,http://www.hereistheporn.com,id-micronet-0,PORN,33
AS23674,http://www.hereistheporn.com,id-surf-safe-0,PORN,34
AS23674,http://www.hereistheporn.com,not-blocked,PORN,1
AS23674,http://www.hustler.com,id-micronet-0,PORN,33
AS23674,http://www.hustler.com,id-surf-safe-0,PORN,2
AS23674,http://www.hustler.com,not-blocked,PORN,33
AS23674,http://www.lesbiansubmission.com,id-surf-safe-0,PORN,15
AS23674,http://www.lesbiansubmission.com,not-blocked,PORN,36
AS23674,http://www.livejasmin.com,id-micronet-0,PORN,33
AS23674,http://www.livejasmin.com,id-surf-safe-0,PORN,25
AS23674,http://www.livejasmin.com,not-blocked,PORN,10
AS23674,http://www.naughty.com,id-micronet-0,PORN,33
AS23674,http://www.naughty.com,id-surf-safe-0,PORN,33
AS23674,http://www.naughty.com,not-blocked,PORN,1
AS23674,http://www.penisbot.com,id-micronet-0,PORN,33
AS23674,http://www.penisbot.com,id-surf-safe-0,PORN,31
AS23674,http://www.penisbot.com,not-blocked,PORN,2
AS23674,http://www.penthouse.com,id-micronet-0,PORN,33
AS23674,http://www.penthouse.com,not-blocked,PORN,34
AS23674,http://www.persiankitty.com,id-micronet-0,PORN,32
AS23674,http://www.persiankitty.com,id-surf-safe-0,PORN,34
AS23674,http://www.persiankitty.com,not-blocked,PORN,1
AS23674,http://www.playboy.com,id-micronet-0,PORN,32
AS23674,http://www.playboy.com,id-surf-safe-0,PORN,27
