Measurement Start Time,Websites ,Accessible,Blocking,Control Failure,Dns Experiment Failure,Http Experiment Failure,Dns Consistency,Status Code Match,Headers Match,Title Match,Body Proportion,Body Length Match,Explorer
2018-01-18 14:19:31,https://www.torproject.org/docs/pluggable-transports.html.en,f,http-failure,,,generic_timeout_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180118T141856Z_AS24757_VfPfwgt6dNzyxGWX6TnFMCUVpDi8b9gXSTf3jIybQ6vhI50Y3g?input=https://www.torproject.org/docs/pluggable-transports.html.en
2018-01-18 14:20:06,https://explorer.ooni.torproject.org/world/,f,http-failure,,,generic_timeout_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180118T141856Z_AS24757_VfPfwgt6dNzyxGWX6TnFMCUVpDi8b9gXSTf3jIybQ6vhI50Y3g?input=https://explorer.ooni.torproject.org/world/
2018-02-24 10:17:44,https://www.torproject.org,f,http-failure,,,generic_timeout_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180224T101619Z_AS24757_W2wFLwKUuqLJAygXnhL9uc5gruglqXggP2sYpH9d5Dz4akcpu0?input=https://www.torproject.org
2018-02-24 20:23:21,http://ooni.torproject.org,,,,,generic_timeout_error,,,,,,,https://explorer.ooni.torproject.org/measurement/20180226T130436Z_AS24757_I92qPHDdzidUh6huAbI3iGcLTPae4N7dS9L16h9SFi7AeZczAi?input=http://ooni.torproject.org
2018-02-25 08:08:49,http://www.torproject.org,,,,,,,,,,,,https://explorer.ooni.torproject.org/measurement/20180226T130436Z_AS24757_I92qPHDdzidUh6huAbI3iGcLTPae4N7dS9L16h9SFi7AeZczAi?input=http://www.torproject.org
2018-02-25 08:08:59,https://www.torproject.org,,,,,,,,,,,,https://explorer.ooni.torproject.org/measurement/20180226T130436Z_AS24757_I92qPHDdzidUh6huAbI3iGcLTPae4N7dS9L16h9SFi7AeZczAi?input=https://www.torproject.org
2018-03-29 03:30:21,http://www.torproject.org/,f,http-failure,,,connection_reset,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180329T032433Z_AS24757_e14yxQXLSnTr6Uve5T2czUQFVF3ULVFbpKrhF6AZVrNfidkStP?input=http://www.torproject.org/
2018-03-29 11:52:40,https://www.torproject.org/,f,http-failure,,,generic_timeout_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180329T114744Z_AS24757_TtFYQu7NPoZboI7e7TnGCImseLnCUtBD8C1h3TwNFTGzuBC1QO?input=https://www.torproject.org/
2018-03-29 11:53:51,http://www.torproject.org/,f,http-failure,,,connection_reset,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180329T114744Z_AS24757_TtFYQu7NPoZboI7e7TnGCImseLnCUtBD8C1h3TwNFTGzuBC1QO?input=http://www.torproject.org/
2018-03-30 10:48:16,http://www.torproject.org/,f,http-failure,,,connection_reset,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180330T104336Z_AS24757_qogiCFP0kTE8l96BxqTZLV3956aEU1dAFx2nzbA0OY5uuVjriL?input=http://www.torproject.org/
2018-03-30 10:56:49,https://www.torproject.org/,f,http-failure,,,generic_timeout_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180330T104336Z_AS24757_qogiCFP0kTE8l96BxqTZLV3956aEU1dAFx2nzbA0OY5uuVjriL?input=https://www.torproject.org/
2018-04-03 06:34:33,https://www.torproject.org/,f,http-failure,,,generic_timeout_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180403T062403Z_AS24757_3ikvaly7HlrpDHzJZ2LxXDaghCxMD81WYVNz2ThxmCENXYcvVP?input=https://www.torproject.org/
2018-04-03 06:37:56,http://www.torproject.org/,f,http-failure,,,connection_reset,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180403T062403Z_AS24757_3ikvaly7HlrpDHzJZ2LxXDaghCxMD81WYVNz2ThxmCENXYcvVP?input=http://www.torproject.org/
2018-04-12 18:16:35,http://www.torproject.org/,f,http-failure,,,connection_reset,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180412T180619Z_AS24757_N9jB51eOdozBtMYT6aPAaY4y0DMod7nAGSUCJ5a3rgYS4UF0wL?input=http://www.torproject.org/
2018-04-12 18:18:15,https://www.torproject.org/,f,http-failure,,,generic_timeout_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180412T180619Z_AS24757_N9jB51eOdozBtMYT6aPAaY4y0DMod7nAGSUCJ5a3rgYS4UF0wL?input=https://www.torproject.org/
2018-06-07 19:07:52,http://www.torproject.org/,t,false,,,,consistent,t,t,t,1,t,https://explorer.ooni.torproject.org/measurement/20180607T190737Z_AS24757_aVOA3TKk17VjUrffznLi8OwF5JOtkJw69mrXB3iKYSosFJq6wX?input=http://www.torproject.org/
2018-06-07 19:17:51,https://www.torproject.org/,t,false,,,,consistent,t,t,t,1,t,https://explorer.ooni.torproject.org/measurement/20180607T190737Z_AS24757_aVOA3TKk17VjUrffznLi8OwF5JOtkJw69mrXB3iKYSosFJq6wX?input=https://www.torproject.org/
2018-06-07 23:04:41,https://www.torproject.org/,t,false,,,,consistent,t,t,t,1,t,https://explorer.ooni.torproject.org/measurement/20180607T224120Z_AS24757_EosXWkpmIOOjuCsiO2zwrksubPmahjUQtuEQNKZS4wRuzboNfy?input=https://www.torproject.org/
2018-06-22 19:28:47,https://www.torproject.org/,f,http-failure,,,generic_timeout_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180622T192757Z_AS24757_rkb3FEigjlMTmrAO6vvUAZr1ZhZ6PfW30zDjq9NRe3Mfo1MdmM?input=https://www.torproject.org/
2018-06-23 15:10:16,https://www.torproject.org,f,http-failure,,,generic_timeout_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180623T151016Z_AS24757_wi0mIIyqGAgiqK7JzULvAAkJ7recHEOTbXA4EXb2s10COhRDUk?input=https://www.torproject.org
2018-06-24 08:37:07,https://www.torproject.org/,,,,,,,,,,,,https://explorer.ooni.torproject.org/measurement/20180624T083707Z_AS24757_5SCGYEZEJmw0T167Oo05VQKx4sqBDGxzfiEfTGK84hsB8u6sWS?input=https://www.torproject.org/
