,measurement_start_time,as_holder,probe_asn,input,domain,explorer_url,probe_cc,False,dns,false,http-diff,http-failure,tcp_ip
10,2020-02-01 13:39:52,PEJVAK-ERTEBATAT - Pejvak Ertebatat Atiyeh Roshan Company (P.J.S.),43212,https://www.persecution.org/,www.persecution.org,https://explorer.ooni.io/measurement/20200201T133857Z_AS43212_txaAoBCFoi0370UOsotTX3AM91Rt2viuSNV2BPputpSRLiDhXw?input=https%3A%2F%2Fwww.persecution.org%2F,IR,0,0,0,0,1,0
11,2020-02-01 13:40:14,PEJVAK-ERTEBATAT - Pejvak Ertebatat Atiyeh Roshan Company (P.J.S.),43212,http://www.cannabis.info/,www.cannabis.info,https://explorer.ooni.io/measurement/20200201T133857Z_AS43212_txaAoBCFoi0370UOsotTX3AM91Rt2viuSNV2BPputpSRLiDhXw?input=http%3A%2F%2Fwww.cannabis.info%2F,IR,0,1,0,0,0,0
12,2020-02-01 13:40:14,PEJVAK-ERTEBATAT - Pejvak Ertebatat Atiyeh Roshan Company (P.J.S.),43212,https://www.tapesh.com/,www.tapesh.com,https://explorer.ooni.io/measurement/20200201T133857Z_AS43212_txaAoBCFoi0370UOsotTX3AM91Rt2viuSNV2BPputpSRLiDhXw?input=https%3A%2F%2Fwww.tapesh.com%2F,IR,0,1,0,0,0,0
13,2020-02-01 21:00:40,NGSAS - Parvaresh Dadeha Co. Private Joint Stock,39501,https://www.radiozamaneh.com/,www.radiozamaneh.com,https://explorer.ooni.io/measurement/20200201T205854Z_AS39501_wR5V5Cae4xkWEqCbx9oKwlncpVMAaUGvrZb3Q6iS5HootLRR6s?input=https%3A%2F%2Fwww.radiozamaneh.com%2F,IR,0,1,0,0,0,0
14,2020-02-01 21:00:53,NGSAS - Parvaresh Dadeha Co. Private Joint Stock,39501,https://www.ilga-europe.org/,www.ilga-europe.org,https://explorer.ooni.io/measurement/20200201T205854Z_AS39501_wR5V5Cae4xkWEqCbx9oKwlncpVMAaUGvrZb3Q6iS5HootLRR6s?input=https%3A%2F%2Fwww.ilga-europe.org%2F,IR,0,0,0,0,1,0
15,2020-02-01 21:01:05,NGSAS - Parvaresh Dadeha Co. Private Joint Stock,39501,https://www.dating.com/,www.dating.com,https://explorer.ooni.io/measurement/20200201T205854Z_AS39501_wR5V5Cae4xkWEqCbx9oKwlncpVMAaUGvrZb3Q6iS5HootLRR6s?input=https%3A%2F%2Fwww.dating.com%2F,IR,0,0,0,0,1,0
16,2020-02-01 21:01:25,NGSAS - Parvaresh Dadeha Co. Private Joint Stock,39501,https://www.iranncr.org/,www.iranncr.org,https://explorer.ooni.io/measurement/20200201T205854Z_AS39501_wR5V5Cae4xkWEqCbx9oKwlncpVMAaUGvrZb3Q6iS5HootLRR6s?input=https%3A%2F%2Fwww.iranncr.org%2F,IR,0,0,0,0,1,0
17,2020-02-01 21:01:39,NGSAS - Parvaresh Dadeha Co. Private Joint Stock,39501,https://fa.kurddestiny.com/,fa.kurddestiny.com,https://explorer.ooni.io/measurement/20200201T205854Z_AS39501_wR5V5Cae4xkWEqCbx9oKwlncpVMAaUGvrZb3Q6iS5HootLRR6s?input=https%3A%2F%2Ffa.kurddestiny.com%2F,IR,0,0,0,0,1,0
18,2020-02-01 21:01:43,NGSAS - Parvaresh Dadeha Co. Private Joint Stock,39501,http://www.arabrenewal.com/,www.arabrenewal.com,https://explorer.ooni.io/measurement/20200201T205854Z_AS39501_wR5V5Cae4xkWEqCbx9oKwlncpVMAaUGvrZb3Q6iS5HootLRR6s?input=http%3A%2F%2Fwww.arabrenewal.com%2F,IR,0,0,0,0,1,0
19,2020-02-01 23:27:07,TCI - Iran Telecommunication Company PJS,58224,http://pornhub.com,pornhub.com,https://explorer.ooni.io/measurement/20200201T232709Z_AS58224_oLoGgr77LglDoKhb89v5dFhdjcw3NJJCq39DGbFr5YGbhM5912?input=http%3A%2F%2Fpornhub.com,IR,0,1,0,0,0,0
