url,category_code,category_description,explorer_url,domain
https://parniplus.com/,LGBT,LGBT,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fparniplus.com%2F,parniplus.com
https://www.proton.me/,COMT,Communication Tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.proton.me%2F,www.proton.me
https://www.bitfinex.com/,COMM,E-commerce,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.bitfinex.com%2F,www.bitfinex.com
https://kavkazcenter.com/,MILX,Terrorism and Militants,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fkavkazcenter.com%2F,kavkazcenter.com
http://www.kasparov.ru/,NEWS,News Media,https://explorer.ooni.org/measurement/?input=http%3A%2F%2Fwww.kasparov.ru%2F,www.kasparov.ru
https://psyplants.info/,ALDR,Alcohol & Drugs,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fpsyplants.info%2F,psyplants.info
https://fri-gate.org/ru/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Ffri-gate.org%2Fru%2F,fri-gate.org
https://kavkazweb.net/,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fkavkazweb.net%2F,kavkazweb.net
https://krym.gitlab.io/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fkrym.gitlab.io%2F,krym.gitlab.io
http://www.hizb-ut-tahrir.org/,POLR,Political Criticism,https://explorer.ooni.org/measurement/20221029T224714Z_webconnectivity_RU_35807_n1_yqZV9wQfp8JrhDpg?input=http%3A%2F%2Fwww.hizb-ut-tahrir.org%2F,www.hizb-ut-tahrir.org
http://imrussia.org/en/,HUMR,Human Rights Issues,https://explorer.ooni.org/measurement/20221029T225844Z_webconnectivity_RU_31059_n1_3gQN88Em29Pj3EmR?input=http%3A%2F%2Fimrussia.org%2Fen%2F,imrussia.org
http://limonka.nbp-info.com/,POLR,Political Criticism,https://explorer.ooni.org/measurement/20221029T225844Z_webconnectivity_RU_31059_n1_3gQN88Em29Pj3EmR?input=http%3A%2F%2Flimonka.nbp-info.com%2F,limonka.nbp-info.com
https://rapidgator.net/,FILE,File-sharing,https://explorer.ooni.org/measurement/20220817T230711Z_webconnectivity_RU_42511_n1_v1P9dyb8AcWiPRFF?input=https%3A%2F%2Frapidgator.net%2F,rapidgator.net
http://www.youporn.com/,PORN,Pornography,https://explorer.ooni.org/measurement/20220412T035048Z_webconnectivity_RU_48642_n1_EbMuboyElk8Mewrg?input=http%3A%2F%2Fwww.youporn.com%2F,www.youporn.com
https://www.bbc.com/,NEWS,News Media,https://explorer.ooni.org/measurement/20220719T221204Z_webconnectivity_RU_39728_n1_Aa58o3F9o6kcz1zV?input=https%3A%2F%2Fwww.bbc.com%2F,www.bbc.com
http://www.agentura.ru/,POLR,Political Criticism,https://explorer.ooni.org/measurement/20221031T003335Z_webconnectivity_RU_212614_n1_YyOGXxwV09og66Ps?input=https%3A%2F%2Fagentura.ru,www.agentura.ru
http://www.thepiratebay.org/,FILE,File-sharing,https://explorer.ooni.org/measurement/20220703T173755Z_webconnectivity_RU_12688_n1_0bIDzYot6dkDrFCG?input=https%3A%2F%2Fthepiratebay.org%2F,www.thepiratebay.org
http://libgen.lc/,FILE,File-sharing,https://explorer.ooni.org/measurement/20220817T210658Z_webconnectivity_RU_42511_n1_mxtKYFccWAtJZn7b?input=http%3A%2F%2Flibgen.lc%2F,libgen.lc
https://libgen.me/,FILE,File-sharing,https://explorer.ooni.org/measurement/20220817T210658Z_webconnectivity_RU_42511_n1_mxtKYFccWAtJZn7b?input=https%3A%2F%2Flibgen.me%2F,libgen.me
http://libgen.rs/,FILE,File-sharing,https://explorer.ooni.org/measurement/20220817T210658Z_webconnectivity_RU_42511_n1_mxtKYFccWAtJZn7b?input=http%3A%2F%2Flibgen.rs%2F,libgen.rs
https://liveuamap.com/,NEWS,News Media,https://explorer.ooni.org/measurement/20220817T210658Z_webconnectivity_RU_42511_n1_mxtKYFccWAtJZn7b?input=https%3A%2F%2Fliveuamap.com%2F,liveuamap.com
http://maidan.org.ua/,NEWS,News Media,https://explorer.ooni.org/measurement/20220817T210658Z_webconnectivity_RU_42511_n1_mxtKYFccWAtJZn7b?input=https%3A%2F%2Fmaidan.org.ua%2F,maidan.org.ua
http://www.deti-404.com/,LGBT,LGBT,https://explorer.ooni.org/measurement/20220817T210911Z_webconnectivity_RU_8402_n1_kInVW3L1ZSnLjcSd?input=http%3A%2F%2Fwww.deti-404.com%2F,www.deti-404.com
https://meduza.io/,NEWS,News Media,https://explorer.ooni.org/measurement/20220817T210658Z_webconnectivity_RU_42511_n1_mxtKYFccWAtJZn7b?input=https%3A%2F%2Fmeduza.io%2F,meduza.io
http://www.blackseango.org/,POLR,Political Criticism,https://explorer.ooni.org/measurement/20220807T175103Z_webconnectivity_RU_21127_n1_mXX5t4fo8oDFF4cC?input=https%3A%2F%2Fblackseango.org%2F,www.blackseango.org
http://www.lesbi.ru/,LGBT,LGBT,https://explorer.ooni.org/measurement/20220117T071622Z_webconnectivity_RU_3216_n1_WHtJuOAUlHDUnHmu?input=http%3A%2F%2Fwww.lesbi.ru%2F,www.lesbi.ru
http://www.ikhwanonline.com/,FILE,File-sharing,https://explorer.ooni.org/measurement/20220603T114043Z_webconnectivity_RU_25513_n1_7ZGljmwg1wWYkv5U?input=http%3A%2F%2Fikhwanonline.com%2F,www.ikhwanonline.com
http://kasparov.ru/,POLR,Political Criticism,https://explorer.ooni.org/measurement/20221023T044623Z_webconnectivity_RU_8402_n1_En87MYlbCGE9j5zP?input=http%3A%2F%2Fkasparov.ru,kasparov.ru
http://khodorkovsky.ru/,POLR,Political Criticism,https://explorer.ooni.org/measurement/20220603T153741Z_webconnectivity_RU_12688_n1_tTriN90EekL1yMtl?input=https%3A%2F%2Fkhodorkovsky.ru%2F,khodorkovsky.ru
http://www.sportsinteraction.com/,GMB,Gambling,https://explorer.ooni.org/measurement/20220316T005155Z_webconnectivity_RU_12714_n1_DpICVdwoK5r4tAcQ?input=http%3A%2F%2Fwww.sportsinteraction.com%2F,www.sportsinteraction.com
http://namba.kz/,FILE,File-sharing,https://explorer.ooni.org/measurement/20220316T005155Z_webconnectivity_RU_12714_n1_DpICVdwoK5r4tAcQ?input=http%3A%2F%2Fnamba.kz%2F,namba.kz
http://www.ultrasurf.us/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/20220412T050012Z_webconnectivity_RU_48642_n1_MJByYEHokpBM84El?input=http%3A%2F%2Fultrasurf.us%2F,www.ultrasurf.us
http://weedfarmer.com/,ALDR,Alcohol & Drugs,https://explorer.ooni.org/measurement/20220412T050012Z_webconnectivity_RU_48642_n1_MJByYEHokpBM84El?input=http%3A%2F%2Fweedfarmer.com%2F,weedfarmer.com
http://www.888casino.com/,GMB,Gambling,https://explorer.ooni.org/measurement/20220412T050012Z_webconnectivity_RU_48642_n1_MJByYEHokpBM84El?input=http%3A%2F%2Fwww.888casino.com%2F,www.888casino.com
http://ej.ru/,NEWS,News Media,https://explorer.ooni.org/measurement/20220817T210911Z_webconnectivity_RU_8402_n1_kInVW3L1ZSnLjcSd?input=http%3A%2F%2Fwww.ej.ru%2F,ej.ru
