domain,category_code,category_description,explorer_url
scontent-vie1-1.cdninstagram.com,GRP,Social Networking,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fscontent-vie1-1.cdninstagram.com%2Ffavicon.ico
radiosvobod.gitlab.io,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fradiosvobod.gitlab.io%2F
thepiratebay.org,FILE,File-sharing,https://explorer.ooni.org/measurement/?input=http%3A%2F%2Fthepiratebay.org%2F
deeprism.com,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fdeeprism.com%2F
golosamer.gitlab.io,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fgolosamer.gitlab.io%2F
rargb.to,FILE,File-sharing,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Frargb.to%2F
severrea.gitlab.io,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fseverrea.gitlab.io%2F
thehiddenwiki.org,HOST,Hosting and Blogging Platforms,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fthehiddenwiki.org%2F
www.novayagazeta.ru,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.novayagazeta.ru%2F
kavkaz.gitlab.io,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fkavkaz.gitlab.io%2F
ua.krymr.com,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fua.krymr.com%2Fradio%2Fschedule%2F101%2F
www.anonymizer.ru,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=http%3A%2F%2Fwww.anonymizer.ru%2F
amnesty.org.ru,HUMR,Human Rights Issues,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Famnesty.org.ru%2F
www.chess.com,GAME,Gaming,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.chess.com%2F
kickasstorrents.to,FILE,File-sharing,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fkickasstorrents.to%2F
www.meendo.net,DATE,Online Dating,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.meendo.net%2F
hola.org,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fhola.org%2F
www.bbm.com,COMT,Communication Tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.bbm.com%2F
www.pap.pl,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.pap.pl%2F
www.ekhokavkaza.com,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.ekhokavkaza.com%2F
lotoru.com,GMB,Gambling,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Flotoru.com%2F
www.mhg.ru,HUMR,Human Rights Issues,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.mhg.ru%2F
www.ej.ru,NEWS,News Media,https://explorer.ooni.org/measurement/?input=http%3A%2F%2Fwww.ej.ru%2F
